
id, date, temperature, taux d'humidite
1,06/03/2018 03:14:00,33,56%
2,24/05/2017 12:37:35,31,52%
3,24/05/2017 12:42:35,29,53%
4,24/05/2017 12:47:35,29.6,50%
5,24/05/2017 12:52:35,28.6,51%
6,24/05/2017 12:57:35,28.6,49%
7,24/05/2017 13:02:35,28.4,48%
8,24/05/2017 13:07:35,28.1,48%
9,24/05/2017 13:12:35,28.5,49%
10,24/05/2017 13:17:35,29.5,44%
11,24/05/2017 13:22:35,28.6,47%
12,24/05/2017 13:27:35,28.3,48%
13,24/05/2017 13:32:35,28.8,48%
14,24/05/2017 13:37:35,28.3,48%
15,24/05/2017 13:42:35,28.2,49%
16,24/05/2017 13:47:35,28.9,48%
17,24/05/2017 13:52:35,29.1,48%
18,24/05/2017 13:57:35,28.7,48%
